id;column1;label;type;title;author;journal;abstract;year;doi;volume;pages;language;issue;issn;url;keywords;journal_secondary;filename;n_duplicates;da;j2;db;l2;a2;n1;notes;screened_full_paper
;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Choi_2022_Molepain;Choi_2022_Molepain;ARTICLE;The role of visual expectations in acupuncture analgesia: A quantitative electroencephalography study;Choi and Dha-Hyun and Lee and Seoyoung and Lee and In-Seon and Chae and Younbyoung;Molecular pain;Acupuncture is a complex treatment comprising multisensory stimulation, including visual and tactile sensations and experiences of body ownership. The purpose of this study was to investigate the role of these three components of acupuncture stimulation in acupuncture analgesia. 40 healthy volunteers participated in the study and received acupuncture treatment under three different conditions (real-hand, rubber-hand synchronous, and rubber-hand asynchronous). The tolerance for heat pain stimuli was measured before and after treatment. Brain oscillation changes were also measured using electroencephalography (EEG). The pain tolerance was significantly increased after acupuncture treatment under all three conditions. Noticeable deqi (needle) sensations in response to acupuncture stimulation of the rubber hand were found under both rubber-hand synchronous and rubber-hand asynchronous conditions. Deqi sensations were significantly correlated with acupuncture analgesia only under the rubber-hand synchronous condition. Increased delta and decreased theta, alpha, beta, and gamma waves were observed after acupuncture treatment under all three conditions. Our findings clarified the role of cognitive components of acupuncture treatment in acupuncture analgesia through the rubber-hand illusion. This study is a first step toward separating various components of acupuncture analgesia, i.e. visual, tactile, and body ownership, and utilizing those components to maximize analgesic effects.;2022;10.1177/17448069221128667;18;1.74E+16;eng;NA;1744-8069;NA;"Pain; Motivation; Electroencephalography; body ownership; Humans; *Illusions/physiology; *Acupuncture Analgesia; *Touch Perception/physiology; Acupuncture analgesia; Analgesics; deqi sensation; electroencephalography; rubber-hand illusion; Touch";NA;data/pubmed-Rubberhand-set.ris;1;2022/04//undefined;Mol Pain;NA;NA;NA;NA;Aspettativa visiva;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Coleshill_2017_ThJoofPa;Coleshill_2017_ThJoofPa;ARTICLE;Placebo analgesia from a rubber hand;Coleshill and Matthew J and George and David N and Mazzoni and Giuliana;The Journal of Pain;Placebo analgesia, reductions in pain after administration of an inert treatment, is a well documented phenomenon. We report, to our knowledge, the first demonstration that placebo analgesia can be experienced when a sham analgesic is applied onto a rubber hand. The effect was obtained by exploiting the rubber hand illusion, in which ownership is felt over a rubber arm that is unattached to the body. Under conditions of synchronous as well as asynchronous visuotactile stimulation, a thermal pain stimulus was delivered on the real arm of 20 participants and seemingly also on the rubber arm, before and after applying a sham analgesic and a control cream only to the rubber arm. During synchronous visuotactile stimulation, pain was experienced on the rubber arm, and the application of the sham analgesic to the rubber arm significantly decreased the severity of reported pain. This shows that experience of the body can modulate expectations and the induction of placebo analgesia. Perspective: This article presents an experiment suggesting that a placebo treatment applied to a rubber hand during the rubber hand illusion can produce placebo analgesia. This finding indicates that embodiment may influence the placebo effect, a previously unexamined factor in the treatment process with potential applications to treatment administration. (PsycInfo Database Record (c) 2021 APA, all rights reserved);2017;10.1016/j.jpain.2017.04.004;18;1067-1077;English;9;1526-5900;https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc16&DO=10.1016%2fj.jpain.2017.04.004;"*Analgesia; *Pain; *Placebo";NA;data/Psycinfo RHI.ris;2;2017///;NA;APA PsycInfo <2017>;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=psyc16&NEWS=N&AN=2017-24486-001;Amanzio, M., Benedetti, F., Amanzio, Amanzio, M., Benedetti, F., Porro, C.A., Palermo, S., Cauda, F., Amanzio, Amanzio, M., Corazzini, L.L., Vase, L., Benedetti, F., Amanzio, Bell, V., Halligan, P.W., Ellis, H.D., Bell, Benedetti, F., Benedetti, Benedetti, F., Benedetti, Bingel, U., Wanigasekera, V., Wiech, K., Mhuircheartaigh, R., Ploner, M., Tracey, I., Bingel, Botvinick, M., Cohen, J., Botvinick, Branthwaite, A., Cooper, P., Branthwaite, Bray, H., Moseley, G.L., Bray, Capelari, E.D., Uribe, C., Brasil-Neto, J.P., Capelari, Chae, Y., Lee, I.S., Jung, W.M., Chang, D.S., Napadow, V., Lee, H., Park, H.J., Wallraven, C., Chae, Chae, Y., Lee, I.S., Jung, W.M., Park, K., Park, H.J., Wallraven, C., Chae, Colloca, L., Benedetti, F., Colloca, Colloca, L., Benedetti, F., Colloca, de Craen, A.J., Tijssen, J.G., Gans, J., Kleijnen, J., de Craen, Ehrsson, H.H., Wiech, K., Weiskopf, N., Dolan, R.J., Passingham, R.E., Ehrsson, Eippert, F., Bingel, U., Schoell, E.D., Yacubian, J., Klinger, R., Lorenz, J., Buchel, C., Eippert, Eippert, F., Finsterbusch, J., Bingel, U., Buchel, C., Eippert, Haans, A., Ijsselsteijn, W.A., de Kort, Y.A., Haans, Harvie, D.S., Broecker, M., Smith, R.T., Meulders, A., Madden, V.J., Moseley, G.L., Harvie, Hashmi, J.A., Baliki, M.N., Huang, L., Parks, E.L., Chanda, M.L., Schnitzer, T., Apkarian, A.V., Hashmi, Hegedus, G., Darnai, G., Szolcsanyi, T., Feldmann, A., Janszky, J., Kallai, J., Hegedus, Ijsselsteijn, W.A., de Kort, Y.A., Haans, A., Ijsselsteijn, Lewis, J.S., Kersten, P., McCabe, C.S., McPherson, K.M., Blake, D.R., Lewis, Lloyd, D.M., Lloyd, Longo, M.R., Betti, V., Aglioti, S.M., Haggard, P., Longo, Longo, M.R., Iannetti, G.D., Mancini, F., Driver, J., Haggard, P., Longo, Lopez, C., Bieri, C.P., Preuss, N., Mast, F.W., Lopez, Lund, K., Vase, L., Petersen, G.L., Jensen, T.S., Finnerup, N.B., Lund, Mancini, F., Longo, M.R., Kammers, M.P., Haggard, P., Mancini, Martini, M., Perez-Marcos, D., Sanchez-Vives, M.V., Martini, Mohan, R., Jensen, K.B., Petkova, V.I., Dey, A., Barnsley, N., Ingvar, M., McAuley, J.H., Moseley, G.L., Ehrsson, H.H., Mohan, Montgomery, G.H., Kirsch, I., Montgomery, Moseley, G.L., Moseley, Moseley, G.L., Moseley, Moseley, G.L., Gallace, A., Spence, C., Moseley, Moseley, G.L., Zalucki, N.M., Wiech, K., Moseley, Nierula, B., Martini, M., Matamala-Gomez, M., Slater, M., Sanchez-Vives, M.V., Nierula, Petrovic, P., Kalso, E., Petersson, K.M., Andersson, J., Fransson, P., Ingvar, M., Petrovic, Petrovic, P., Kalso, E., Petersson, K.M., Ingvar, M., Petrovic, Pollo, A., Amanzio, M., Arslanian, A., Casadio, C., Maggi, G., Benedetti, F., Pollo, Price, D.D., Long, S., Wilsey, B., Rafii, A., Price, Price, D.D., Milling, L.S., Kirsch, I., Duff, A., Montgomery, G., Price, Rief, W., Glombiewski, J.A., Rief, Rief, W., Nestoriuc, Y., von Lilienfeld-Toal, A., Dogan, I., Schreiber, F., Hofmann, S.G., Barsky, A.J., Avorn, J., Rief, Slater, M., Perez-Marcos, D., Ehrsson, H., Sanchez-Vives, M.V., Slater, Stewart-Williams, S., Podd, J., Stewart-Williams, Tsakiris, M., Tsakiris, Tsakiris, M., Haggard, P., Tsakiris, Vase, L., Petersen, G.L., Riley, J.L., Price, D.D., Vase, Wager, T.D., Rilling, J.K., Smith, E.E., Sokolik, A., Casey, K.L., Davidson, R.J., Kosslyn, S.M., Rose, R.M., Cohen, J.D., Wager;NA;;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Coppi_2024_Pain;Coppi_2024_Pain;ARTICLE;Eliciting the rubber hand illusion by the activation of nociceptive C and AÞ?†® fibers;Coppi and Sara and Jensen and Karin B. and Ehrsson, H. Henrik;Pain;"The coherent perceptual experience of one's own body depends on the processing and integration of signals from multiple sensory modalities, including vision, touch, and proprioception. Although nociception provides critical information about damage to the tissues of one's body, little is known about how nociception contributes to own-body perception. A classic experimental approach to investigate the perceptual and neural mechanisms involved in the multisensory experience of one's own body is the rubber hand illusion (RHI). During the RHI, people experience a rubber hand as part of their own body (sense of body ownership) caused by synchronized stroking of the rubber hand in the participant's view and the hidden participant's real hand. We examined whether the RHI can be elicited by visual and ""pure"" nociceptive stimulation, ie, without tactile costimulation, and if so, whether it follows the basic perceptual rules of the illusion. In 6 separate experiments involving a total of 180 healthy participants, we used a Nd:YAP laser stimulator to specifically target C and A fibers in the skin and compared the illusion condition (congruent visuonociceptive stimulation) to control conditions of incongruent visuonociceptive, incongruent visuoproprioceptive, and no nociceptive stimulation. The illusion was quantified through direct (questionnaire) and indirect (proprioceptive drift) behavioral measures. We found that a nociceptive rubber hand illusion (N-RHI) could be elicited and that depended on the spatiotemporal congruence of visuonociceptive signals, consistent with basic principles of multisensory integration. Our results suggest that nociceptive information shapes multisensory bodily awareness and contributes to the sense of body ownership.";2024;10.1097/j.pain.0000000000003245;165;2240-2256;eng;10;1872-6623 0304-3959;NA;"Humans; *Illusions/physiology; *Proprioception/physiology; Visual Perception/physiology; Young Adult; Adult; Female; Male; Adolescent; *Hand/physiology; Body Image/psychology; Nerve Fibers, Myelinated/physiology; Nerve Fibers, Unmyelinated/physiology; Nociception/physiology; Physical Stimulation; Rubber";NA;data/pubmed-Rubberhand-set.ris;1;2024/10/01/;Pain;NA;NA;NA;NA;RHI con stimoli dolorifici;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Cordier_2020_ThJoofPa;Cordier_2020_ThJoofPa;ARTICLE;Synchronous stimulation with light and heat induces body ownership and reduces pain perception;Cordier and Larissa and Fuchs and Xaver and Herpertz and Stephan and Trojan and Jorg and Diers and Martin;The Journal of Pain;In this study, we investigated whether illusionary body ownership over artificial hands and non-corporeal objects modulates pain perception. Previous research has yielded to mixed results, but has separated painful stimulation used to test pain perception from the stimulation that was used to induce the illusion. Here, we used a variant of the rubber hand illusion (RHI) paradigm and induced the illusion directly via a combination of visual and painful stimuli. We presented heat pain stimuli at the real hand and visual stimuli beneath a rubber hand (part1), or a glass ball (part2). Illusion ratings were higher and pain ratings were lower in the synchronous compared to the asynchronous condition in both parts of the experiment. This study demonstrated the successful induction of a body illusion using a new visual-thermal method with painful stimuli. We showed that the RHI and interestingly also the glass ball has an analgesic effect on the perception of the heat pain stimuli. Our data suggests that induced ownership over artificial limbs but also over non-corporeal objects can reduce the perceived pain perception. This might be mediated via a partial referral of the perceived location of pain or respectively a distribution of pain over 2 locations. Perspective: This article presents a new visual-thermal method with painful stimuli for the induction of the Rubber Hand Illusion. An illusionary body ownership over artificial hands and non-corporeal has an analgesic effects on the perception of pain. Similar approaches might be useful to alleviate chronic pain, but needs further testing. (PsycInfo Database Record (c) 2021 APA, all rights reserved);2020;10.1016/j.jpain.2019.10.009;21;700-707;English;5-Jun;1526-5900;https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1016%2fj.jpain.2019.10.009;"*Pain Perception; *Ownership; *Sensory Integration; *Analgesia; Illumination; Illusions (Perception); Stimulation; Temperature Perception";NA;data/Psycinfo RHI.ris;2;2020///;NA;APA PsycInfo <2020>;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=psyc19&NEWS=N&AN=2020-45370-001;Apkarian, AV, Bushnell, MC, Treede, R-D, Zubieta, J-K, Apkarian, Bates D, Machler M, Bolker B, Walker S, Bates, Beinert, K, Lutz, B, Zieglgansberger, W, Diers, M, Beinert, Botvinick, M, Cohen, J, Botvinick, Capelari, EDP, Uribe, C, Brasil-Neto, JP, Capelari, Crucianelli, L, Metcalf, NK, Fotopoulou, A, Crucianelli, Diers, M, Loffler, A, Zieglgansberger, W, Trojan, J, Diers, Diers, M, Zieglgansberger, W, Trojan, J, Drevensek, AM, Erhardt-Raum, G, Flor, H, Diers, Fang, W, Zhang, R, Zhao, Y, Wang, L, Zhou, Y-D, Fang, Giummarra, MJ, Georgiou-Karistianis, N, Verdejo-Garcia, A, Gibson, SJ, Giummarra, Guterstam, A, Gentile, G, Ehrsson, HH, Guterstam, Hautzinger, M, Bailer, M, Hautzinger, Hegedus, G, Darnai, G, Szolcsanyi, T, Feldmann, A, Janszky, J, Kallai, J., Hegedus, Hofle, M, Hauck, M, Engel, AK, Senkowski, D, Hofle, Hohwy, J, Paton, B, Hohwy, Kilteni, K, Groten, R, Slater, M, Kilteni, Kuznetsova, A, Brockhoff, PB, Christensen, RHB, Kuznetsova, Legrain, V, Mancini, F, Sambo, CF, Torta, DM, Ronga, I, Valentini, E, Legrain, Loffler, A., Trojan, J., Zieglgansberger, W., Diers, M., Loffler, Longo, MR, Betti, V, Aglioti, SM, Haggard, P, Longo, Longo, MR, Iannetti, GD, Mancini, F, Driver, J, Haggard, P, Longo, Ma, K, Hommel, B, Ma, Martini, M, Perez-Marcos, D, Sanchez-Vives, MV, Martini, Mohan, R, Jensen, KB, Petkova, VI, Dey, A, Barnsley, N, Ingvar, M, McAuley, JH, Moseley, GL, Ehrsson, HH, Mohan, Moseley, GL, Gallace, A, Spence, C, Moseley, Nierula, B, Martini, M, Matamala-Gomez, M, Slater, M, Sanchez-Vives, MV, Nierula, Oldfield, RC, Oldfield, Osumi, M, Imai, R, Ueta, K, Nakano, H, Nobusako, S, Morioka, S, Osumi, Peirce, JW, Peirce, R Core Team, Riemer, M, Trojan, J, Beauchamp, M, Fuchs, X, Riemer, Romano, D, Llobera, J, Blanke, O, Romano, Siedlecka, M, Spychala, N, Lukowska, M, Wiercioch, K, Wierzchon, M, Siedlecka, Torta, DM, Legrain, V, Mouraux, A, Torta, Torta, DM, Van Den Broeke, E, Filbrich, L, Jacob, B, Lambert, J, Mouraux, A, Torta, Trojan, J, Fuchs, X, Speth, S-L, Diers, M, Trojan, Tsakiris, M., Tsakiris, Tsakiris, M, Carpenter, L, James, D, Fotopoulou, A, Tsakiris, Valenzuela-Moguillansky, C, Bouhassaira, D, O'Regan, JK, Valenzuela-Moguillansky, Van Damme, S, Legrain, V, Vogt, J, Crombez, G, Van Damme, van Stralen, HE, van Zandvoort, MJE, Hoppenbrouwers, SS, Vissers, LMG, Kappelle, LJ, Dijkerman, HC, van Stralen, Wand, BM, Tulloch, VM, George, PJ, Smith, AJ, Goucke, R, O'Connell, NE, Moseley, GL, Wand, Wickham, H., Wickham;NA;;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Della.Longa_2022_FrinPs;Della.Longa_2022_FrinPs;ARTICLE;Does nice or nasty matter? The intensity of touch modulates the rubber hand illusion;Della Longa and Letizia and Sacchetti and Sofia and Farroni and Teresa and McGlone and Francis;Frontiers in Psychology;Our sense of body ownership results from the ongoing integration of perceptual information coming from the different senses (i.e., multisensory integration). The Rubber Hand Illusion (RHI) has been extensively studied to investigate the malleability of body ownership through contrasting multisensory information. Indeed, during the RHI, stroking a visible rubber hand synchronously to participants' hand hidden from sight generates the illusion of ownership of the rubber hand (embodiment) and the mis-location of participants' hand as closer to the rubber hand (proprioceptive drift). It is well known that the RHI is optimally evoked by a pleasant stroking (affective) touch, but what of an unpleasant (painful) stroking touch-does hedonic valence matter? To this aim, participants repeated the RHI while receiving different types of touch: pleasant, painful, and neutral. Results showed, for the first time, that the subjective intensity of the tactile stimulation experienced across the different conditions modulates the strength of the proprioceptive drift. Notably, participants reported a stronger RHI (mis-placed body ownership) from stimulation rated as more intense and involving an interoceptive activation (pain and pleasantness vs. neutral). We propose that interoceptive information, regardless of the valence of the stimuli (positive or negative), are perceived as more intense and enhance, through the activation of the limbic system, multisensory integration. In the context of the RHI, this translates to a stronger illusion in terms of proprioceptive drift. (PsycInfo Database Record (c) 2025 APA, all rights reserved);2022;10.3389/fpsyg.2022.901413;13;NA;English;Abdulkarim, Z., & Ehrsson, H. H. (2016). No causal link between changes in hand position sense and feeling of limb ownership in the rubber hand illusion. Attent. Percept. Psychophys. 78 707-720 https://pubmed.ncbi.nlm.nih.gov/26555651 https://dx.doi.org/10.3758/s13414-015-1016-0 2015-51791-001.;NA;https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc24&DO=10.3389%2ffpsyg.2022.901413;"*Illusions (Perception); *Body Awareness; *Sensory Integration; *Tactual Perception; *Interoception";NA;data/Psycinfo RHI.ris;2;2022///;NA;APA PsycInfo <2025 - Present>;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=psyc24&NEWS=N&AN=2022-77664-001;Abdulkarim, Z., Ehrsson, H. H., Abdulkarim, Ackerley, R., Backlund Wasling, H., Liljencrantz, J., Olausson, H., Johnson, R. D., Wessberg, J., Ackerley, Akaike, H., Akaike, Anell, J., Anell, Asai, T., Mao, Z., Sugimori, E., Tanno, Y., Asai, Baayen, H., Davidson, D., Bates, D., Baayen, Baier, B., Karnath, H.-O., Baier, Barton, K., Barton, Bates, D., Maechler, M., Bolker, B., Walker, S., Bates, Baumeister, R. F., Baumeister, Bekker, M. H., Croon, M. A., Van Balkom, E. G., Vermee, J. B., Bekker, Bertheaux, C., Toscano, R., Fortunier, R., Roux, J. C., Charier, D., Borg, C., Bertheaux, Blanke, O., Blanke, Bora, E., Kose, S., Bora, Botvinick, M., Cohen, J., Botvinick, Bremner, A. J., Lewkowicz, D. J., Spence, C., Bremner, A. J., Lewkowicz, D. J., Spence, C., Bremner, Bresciani, J. P., Ernst, M. O., Drewing, K., Bouyer, G., Maury, V., Kheddar, A., Bresciani, Brozzoli, C., Gentile, G., Bergouignan, L., Ehrsson, H. H., Brozzoli, Caglar-Nazali, H. P., Corfield, F., Cardi, V., Ambwani, S., Leppanen, J., Olabintan, O., et al, Caglar-Nazali, Capelari, E. D., Uribe, C., Brasil-Neto, J. P., Capelari, Ciaunica, A., Fotopoulou, A., Durt, C., Fuchs, T., Tewes, C., Ciaunica, Craig, A. D., Craig, Critchley, H., Wiens, S., Rotshtein, P., Ohman, A., Dolan, R. J., Critchley, Crucianelli, L., Demartini, B., Goeta, D., Nistico, V., Saramandi, A., Bertelli, S., et al, Crucianelli, Crucianelli, L., Krahei, C., Jenkinson, P. M., Fotopoulou, A. K., Crucianelli, Crucianelli, L., Metcalf, N. K., Fotopoulou, A. K., Jenkinson, P. M., Crucianelli, Ellingsen, D. M., Ellingsen, Erro, R., Marotta, A., Fiorio, M., Erro, Eshkevari, E., Rieger, E., Longo, M. R., Haggard, P., Treasure, J., Eshkevari, Essick, G. K., McGlone, F., Dancer, C., Fabricant, D., Ragin, Y., Phillips, N., et al, Essick, Fahey, S., Santana, C., Kitada, R., Zheng, Z., Fahey, Faul, F., Erdfelder, E., Lang, A. G., Buchner, A., Faul, Filippetti, M. L., Kirsch, L. P., Crucianelli, L., Fotopoulou, A., Filippetti, Fusaro, M., Tieri, G., Aglioti, S. M., Fusaro, Fusaro, M., Tieri, G., Aglioti, S. M., Fusaro, Gelman, A., Hill, J., Gelman, Haugstad, G. K., Haugstad, T. S., Kirste, U. M., Leganger, S., Wojniusz, S., Klemmetsen, I., et al, Haugstad, Herbert, B. M., Pollatos, O., Herbert, Herbert, B. M., Pollatos, O., Schandry, R., Herbert, Hooper, D., Coughlan, J., Mullen, M. R., Hooper, Ide, M., Ide, Kammers, M. P. M., Longo, M. R., Tsakiris, M., Dijkerman, H. C., Haggard, P., Kammers, Kaplan, R., Enticott, P., Hohwy, J., Castle, D., Rossell, S., Kaplan, Kuznetsova, A., Brockhoff, P. B., Christensen, R. H. B., Kuznetsova, Legrain, V., Iannetti, G. D., Plaghki, L., Mouraux, A., Legrain, Lloyd, D. M., Lloyd, Lloyd, D. M., Gillis, V., Lewis, E., Farrell, M. J., Morrison, I., Lloyd, Loken, L. S., Wessberg, J., Morrison, I., McGlone, F., Olausson, H., Loken, Longo, M. R., Schuur, F., Kammers, M. P. M., Tsakiris, M., Haggard, P., Longo, Lush, P., Botan, V., Scott, R. B., Seth, A. K., Ward, J., Dienes, Z., Lush, Maister, L., Tang, T., Tsakiris, M., Maister, McCracken, L. M., McCracken, McElreath, R., McElreath, McGlone, F., Vallbo, A. B., Olausson, H., Loken, L., Wessberg, J., McGlone, Meltzoff, A. N., Saby, J. N., Marshall, P. J., Meltzoff, Mendes, W. B., Mendes, Montagu, A., Montagu, Mussap, A. J., Salton, N., Mussap, Olausson, H., Cole, J., Rylander, K., McGlone, F., Lamarre, Y., Wallin, B. G., et al, Olausson, Pawling, R., Trotter, P. D., McGlone, F. P., Walker, S. C., Pawling, Peled, A., Ritsner, M., Hirschmann, S., Geva, A. B., Modai, I., Peled, Posner, J., Russell, J. A., Peterson, B. S., Posner, Pyasik, M., Salatino, A., Pia, L., Pyasik, R Core Team, Rochat, P., Striano, T., Rochat, Rohde, M., Di Luca, M., Ernst, M. O., Rohde, Ropar, D., Greenfield, K., Smith, A. D., Carey, M., Newport, R., Ropar, Rubin, D. C., Talarico, J. M., Rubin, Russell, J. A., Russell, Sacchetti, S., Cazzato, V., Mcglone, F., Mirams, L., Sacchetti, Schutz-Bosbach, S., Tausche, P., Weiss, C., Schutz-Bosbach, Serino, A., Alsmith, A., Costantini, M., Mandrigin, A., Tajadura-Jimenez, A., Lopez, C., Serino, Shields, S., Mallory, M., Simon, A., Shields, Shimada, S., Suzuki, T., Yoda, N., Hayashi, T., Shimada, Suzuki, K., Garfinkel, S. N., Critchley, H. D., Seth, A. K., Suzuki, Teaford, M., McMurray, M. S., Billock, V., Filipkowski, M., Smart, L. J., Teaford, Tsakiris, M., Tsakiris, Tsakiris, M., Carpenter, L., James, D., Fotopoulou, A., Tsakiris, Tsakiris, M., Haggard, P., Tsakiris, Tsakiris, M., Hesse, M. D., Boy, C., Haggard, P., Fink, G. R., Tsakiris, Tsakiris, M., Tajadura-Jimenez, A., Costantini, M., Tsakiris, van Stralen, H. E., van Zandvoort, M. J. E., Hoppenbrouwers, S. S., Vissers, L. M. G., Kappelle, L. J., Dijkerman, H. C., van Stralen, Wilhelm, F. H., Kochar, A. S., Roth, W. T., Gross, J. J., Wilhelm, Wilson, K. A., James, G. A., Kilts, C. D., Bush, K. A., Wilson;NA;RHI con dolore;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Derbyshire_2013_Frinhune;Derbyshire_2013_Frinhune;ARTICLE;Feeling the pain of others is associated with self-other confusion and prior pain experience;Derbyshire and Stuart W. G. and Osborn and Jody and Brown and Steven;Frontiers in human neuroscience;Some chronic pain patients and healthy individuals experience pain when observing injury or others in pain. To further understand shared pain, we investigated perspective taking, bodily ownership and tooth pain sensitivity. First, participants who reported shared pain (responders) and those who did not (non-responders) viewed an avatar on a screen. Intermittently, 0-3 circles appeared. Sometimes the participant's and avatar's perspective were consistent, both directly viewed the same circles, and sometimes inconsistent, both directly viewed different circles. Responders were faster than non-responders to identify the number of circles when adopting a consistent perspective. Second, participants sat with their left hand hidden while viewing a rubber hand. All participants reported an illusory sensation of feeling stroking in the rubber hand and a sense of ownership of the rubber hand during synchronous stroking of the rubber and hidden hand. The responders also reported feeling the stroking and a sense of ownership of the rubber hand during asynchronous stroking. For experiment three, participants with either low, moderate, or high tooth sensitivity observed a series of images depicting someone eating an ice-popsicle. Low sensitivity participants never reported pain. In contrast, moderate and high sensitivity participants reported pain in response to an image depicting someone eating an ice popsicle (4 and 19% of the time, respectively) and depicting someone eating an ice-popsicle and expressing pain (23 and 40%, respectively). In summary, responders have reduced ability to distinguish their own and others' visual perspective and enhanced ability to integrate a foreign arm into their bodily representation. The tendency to share pain is also enhanced when an observed pain is commonly experienced by the observer. Shared pain may therefore involve reactivation of pain memories or pain schema that are readily integrated into a self perspective and bodily representation.;2013;10.3389/fnhum.2013.00470;7;470;eng;NA;1662-5161;NA;"pain; empathy; illusion; sensitivity; vicarious";NA;data/pubmed-Rubberhand-set.ris;1;2013///;Front Hum Neurosci;NA;NA;NA;NA;Vicario, RHI (visione persone che mangiano gelato quando dolore ai denti);selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Fang_2019_Frinne;Fang_2019_Frinne;ARTICLE;Attenuation of Pain Perception Induced by the Rubber Hand Illusion;Fang and Wen and Zhang and Ruyuan and Zhao and Yijie and Wang and Liping and Zhou and Yong-Di;Frontiers in neuroscience;"Adaptive behavior usually requires accurate representations of body positions and ownership, which rely on integration of multiple sources of sensory information. The rubber hand illusion (RHI) presents a compelling example demonstrating that the combination of visual and tactile signals strongly influences the subjective experience of body ownership. However, it still remains unclear how the perception of body ownership in turn alters other aspects of sensory processing, such as pain perception. In the present study, we examined whether the RHI could modulate the subjective experience of pain. We set three conditions corresponding to different levels of ownership of the rubber hand: the synchronous condition in which the rubber and the real hand were simultaneously stroked; the asynchronous condition in which the two hands were asynchronously stroked; the own-hand-only condition in which only the real hand was stroked. Results from the screening experiment indicated that subjects experienced the stronger RHI in the synchronous condition, compared with the strength of RHI in the other two conditions. In the main experiment, subjects were requested to report the intensity and unpleasantness of pain evoked by laser stimuli under the three stroking conditions. Results showed that pain ratings were significantly lower under the synchronous condition than those under the other two conditions, suggesting the RHI could induce a significant analgesic effect. Furthermore, the correlation analysis showed that the degree of the analgesic effect was positively correlated with the RHI strength across individuals. Taken together, these results suggest an analgesic effect of the RHI and support the potential usage of visual illusions in future translational research on pain.";2019;10.3389/fnins.2019.00261;13;261;eng;NA;1662-4548 1662-453X;NA;"body ownership; rubber hand illusion; analgesic; laser evoked pain; pain perception";NA;data/pubmed-Rubberhand-set.ris;1;2019///;Front Neurosci;NA;NA;NA;NA;;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
